Date,Arrivals to Greek Islands,Departures to mainland Greece,Arrivals to fYRoM,Arrivals to Serbia,Arrivals to Croatia,Arrivals to Hungary,Arrivals to Slovenia,Arrivals to Austria
18/12/15,2354,4458,2332,2649,3200,11,3150,3532
19/12/15,2373,1016,3515,3052,3156,31,3222,3305
20/12/15,5223,4070,2338,3405,3276,8,3233,3800
21/12/15,3904,2757,1470,1253,3210,25,3278,3611
22/12/15,3668,2864,2272,2186,2027,1,2118,3451
23/12/15,3354,3278,2529,2415,2116,21,3030,1613
24/12/15,3110,3349,2529,4279,3166,8,2131,2764
25/12/15,3008,3801,3268,3390,3339,2,3257,3321
26/12/15,2710,2498,3521,3757,4241,17,4274,3532
27/12/15,2678,2311,3938,3674,4251,10,3253,3476
28/12/15,3337,1924,2884,3708,3249,0,4228,4394
29/12/15,3643,5309,2577,2629,4253,0,4239,4468
30/12/15,2552,4021,1665,1879,2132,11,3195,4386
31/12/15,948,2009,3848,3602,1058,5,511,1756
01/01/16,828,623,2454,2745,3869,0,2914,2226
02/01/16,3203,720,2918,2947,3710,N/A,3690,3199
03/01/16,2241,2249,2112,2889,2732,N/A,3619,3793
04/01/16,1917,3549,1415,1462,2591,N/A,1708,3085
05/01/16,779,1998,2842,2041,2650,18,2626,3091
06/01/16,1067,2377,2258,3273,2273,5,2550,2299
07/01/16,119,463,1776,1715,2814,31,2337,2466
08/01/16,1475,716,1344,2100,3332,0,916,3472
09/01/16,5050,533,715,489,1799,15,2630,2619
10/01/16,2410,2417,819,1538,942,28,880,1934
11/01/16,2645,1621,1959,905,1549,7,897,1204
12/01/16,571,1701,1840,1743,769,2,1308,1231
13/01/16,408,3661,1600,1973,1679,N/A,1544,1991
14/01/16,1792,1378,3022,3006,2502,4,2449,2082
15/01/16,4150,1551,2119,3213,2493,30,3330,2219
16/01/16,1188,301,1598,415,3579,30,2435,2578
17/01/16,217,3324,720,1995,878,30,2570,3141
18/01/16,435,2759,1980,1362,1930,9,1783,1203
19/01/16,964,695,2298,2244,1917,29,1476,1630
20/01/16,3748,50,0,1113,914,N/A,1154,1439
21/01/16,3166,1108,892,397,1865,10,1787,1989
